Date,FF,1Y,2Y,5Y,10Y,20Y
Sep-96,5.3,5.83,6.23,6.6,6.83,7.17
Oct-96,5.24,5.55,5.91,6.27,6.53,6.9
Nov-96,5.31,5.42,5.7,5.97,6.2,6.58
Dec-96,5.29,5.47,5.78,6.07,6.3,6.65
Jan-97,5.25,5.61,6.01,6.33,6.58,6.91
Feb-97,5.19,5.53,5.9,6.2,6.42,6.77
Mar-97,5.39,5.8,6.22,6.54,6.69,7.05
Apr-97,5.51,5.99,6.45,6.76,6.89,7.2
May-97,5.5,5.87,6.28,6.57,6.71,7.02
Jun-97,5.56,5.69,6.09,6.38,6.49,6.84
Jul-97,5.52,5.54,5.89,6.12,6.22,6.56
Aug-97,5.54,5.56,5.94,6.16,6.3,6.65
Sep-97,5.54,5.52,5.88,6.11,6.21,6.56
Oct-97,5.5,5.46,5.77,5.93,6.03,6.38
Nov-97,5.52,5.46,5.71,5.8,5.88,6.2
Dec-97,5.5,5.53,5.72,5.77,5.81,6.07
Jan-98,5.56,5.24,5.36,5.42,5.54,5.88
Feb-98,5.51,5.31,5.42,5.49,5.57,5.96
Mar-98,5.49,5.39,5.56,5.61,5.65,6.01
Apr-98,5.45,5.38,5.56,5.61,5.64,6
May-98,5.49,5.44,5.59,5.63,5.65,6.01
Jun-98,5.56,5.41,5.52,5.52,5.5,5.8
Jul-98,5.54,5.36,5.46,5.46,5.46,5.78
Aug-98,5.55,5.21,5.27,5.27,5.34,5.66
Sep-98,5.51,4.71,4.67,4.62,4.81,5.38
Oct-98,5.07,4.12,4.09,4.18,4.53,5.3
Nov-98,4.83,4.53,4.54,4.54,4.83,5.48
Dec-98,4.68,4.52,4.51,4.45,4.65,5.36
Jan-99,4.63,4.51,4.62,4.6,4.72,5.45
Feb-99,4.76,4.7,4.88,4.91,5,5.66
Mar-99,4.81,4.78,5.05,5.14,5.23,5.87
Apr-99,4.74,4.69,4.98,5.08,5.18,5.82
May-99,4.74,4.85,5.25,5.44,5.54,6.08
Jun-99,4.76,5.1,5.62,5.81,5.9,6.36
Jul-99,4.99,5.03,5.55,5.68,5.79,6.28
Aug-99,5.07,5.2,5.68,5.84,5.94,6.43
Sep-99,5.22,5.25,5.66,5.8,5.92,6.5
Oct-99,5.2,5.43,5.86,6.03,6.11,6.66
Nov-99,5.42,5.55,5.86,5.97,6.03,6.48
Dec-99,5.3,5.84,6.1,6.19,6.28,6.69
Jan-00,5.45,6.12,6.44,6.58,6.66,6.86
Feb-00,5.73,6.22,6.61,6.68,6.52,6.54
Mar-00,5.85,6.22,6.53,6.5,6.26,6.38
Apr-00,6.02,6.15,6.4,6.26,5.99,6.18
May-00,6.27,6.33,6.81,6.69,6.44,6.55
Jun-00,6.53,6.17,6.48,6.3,6.1,6.28
Jul-00,6.54,6.08,6.34,6.18,6.05,6.2
Aug-00,6.5,6.18,6.23,6.06,5.83,6.02
